NO,Ti,Fe,Zr,V,Cr,Mn,Ni,Co,Y,T,Size1,Size2,Pa,Pd,wt,ref
100,1.0,0.8,0.0,0.0,0.0,0.05,0.0,0.0,0.0,25,30,100,0.187,0.086,1.6,[19]
101,1.0,0.8,0.0,0.0,0.0,0.05,0.0,0.0,0.0,40,30,100,0.316,0.164,1.58,[19]
102,1.0,0.8,0.0,0.0,0.0,0.05,0.0,0.0,0.0,55,30,100,0.518,0.284,1.56,[19]
103,1.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,25,30,100,0.535,0.245,1.81,[19]
104,1.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,55,30,100,1.367,0.676,1.64,[19]
105,1.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,85,30,100,2.838,1.641,1.57,[19]
106,1.0,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,25,30,100,0.152,0.083,1.8,[19]
107,1.0,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,40,30,100,0.276,0.156,1.83,[19]
108,1.0,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,55,30,100,0.431,0.243,1.86,[19]
109,1.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10,58,75,0.18,0.065,1.64,[20]
110,1.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,30,58,75,0.25,0.105,1.57,[20]
111,1.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,50,58,75,0.47,0.26,1.51,[20]
112,1.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10,58,75,0.4,0.13,1.52,[20]
113,1.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,30,58,75,0.72,0.3,1.63,[20]
114,1.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,50,58,75,1.06,0.6,1.55,[20]
115,1.08,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.02,30,20,75,0.3,0.17,1.712,[21]
116,1.08,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.02,50,20,75,0.55,0.39,1.62,[21]
117,1.08,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.02,70,20,75,0.98,0.65,1.405,[21]
118,1.08,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.02,90,20,75,1.45,1.1,0.979,[21]
119,1.08,0.8,0.02,0.0,0.0,0.2,0.0,0.0,0.02,30,20,75,0.25,0.15,1.557,[21]
120,1.08,0.8,0.02,0.0,0.0,0.2,0.0,0.0,0.02,50,20,75,0.5,0.32,1.62,[21]
121,1.08,0.8,0.02,0.0,0.0,0.2,0.0,0.0,0.02,70,20,75,0.85,0.55,1.26,[21]
122,1.08,0.8,0.02,0.0,0.0,0.2,0.0,0.0,0.02,90,20,75,1.29,0.82,0.929,[21]
123,1.08,0.8,0.04,0.0,0.0,0.2,0.0,0.0,0.02,30,20,75,0.24,0.14,1.433,[21]
124,1.08,0.8,0.04,0.0,0.0,0.2,0.0,0.0,0.02,50,20,75,0.4,0.27,1.453,[21]
125,1.08,0.8,0.04,0.0,0.0,0.2,0.0,0.0,0.02,70,20,75,0.7,0.5,1.259,[21]
126,1.08,0.8,0.04,0.0,0.0,0.2,0.0,0.0,0.02,90,20,75,1.01,0.72,0.98,[21]
127,1.08,0.8,0.06,0.0,0.0,0.2,0.0,0.0,0.02,30,20,75,0.18,0.11,1.368,[21]
128,1.08,0.8,0.06,0.0,0.0,0.2,0.0,0.0,0.02,50,20,75,0.37,0.24,1.368,[21]
129,1.08,0.8,0.06,0.0,0.0,0.2,0.0,0.0,0.02,70,20,75,0.61,0.42,1.26,[21]
130,1.08,0.8,0.06,0.0,0.0,0.2,0.0,0.0,0.02,90,20,75,0.97,0.71,0.973,[21]
131,1.08,0.8,0.08,0.0,0.0,0.2,0.0,0.0,0.02,30,20,75,0.17,0.1,1.243,[21]
132,1.08,0.8,0.08,0.0,0.0,0.2,0.0,0.0,0.02,50,20,75,0.33,0.22,1.25,[21]
133,1.08,0.8,0.08,0.0,0.0,0.2,0.0,0.0,0.02,70,20,75,0.6,0.4,1.155,[21]
134,1.08,0.8,0.08,0.0,0.0,0.2,0.0,0.0,0.02,90,20,75,0.9,0.66,0.954,[21]
135,1.1,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.0,30,58,75,0.03,0.005,1.62,[22]
136,1.1,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.0,50,58,75,0.045,0.0097,1.6,[22]
137,1.1,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.0,70,58,75,0.06,0.013,1.56,[22]
138,1.1,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.0,90,58,75,0.08,0.02,1.54,[22]
139,1.08,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.02,30,58,75,0.02,0.0065,1.6,[22]
140,1.08,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.02,50,58,75,0.023,0.0095,1.58,[22]
141,1.08,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.02,70,58,75,0.03,0.014,1.57,[22]
142,1.08,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.02,90,58,75,0.046,0.02,1.43,[22]
143,1.06,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.04,30,58,75,0.0087,0.0056,1.78,[22]
144,1.06,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.04,50,58,75,0.02,0.008,1.7,[22]
145,1.06,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.04,70,58,75,0.031,0.023,1.63,[22]
146,1.06,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.04,90,58,75,0.045,0.03,1.6,[22]
147,1.04,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.06,30,58,75,0.02,0.003,1.6,[22]
148,1.04,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.06,50,58,75,0.023,0.008,1.57,[22]
149,1.04,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.06,70,58,75,0.025,0.015,1.55,[22]
150,1.04,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.06,90,58,75,0.04,0.021,1.47,[22]
151,1.02,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.08,30,58,75,0.017,0.004,1.65,[22]
152,1.02,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.08,50,58,75,0.024,0.01,1.62,[22]
153,1.02,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.08,70,58,75,0.03,0.017,1.6,[22]
154,1.02,0.6,0.1,0.0,0.0,0.2,0.3,0.0,0.08,90,58,75,0.061,0.045,1.57,[22]
155,1.0,0.86,0.0,0.0,0.0,0.1,0.0,0.0,0.0,45,38,48,0.5,0.41,1.91,[23]
156,0.95,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,25,25,150,0.62,0.23,1.25,[24]
157,1.0,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,25,25,150,0.31,0.14,1.41,[24]
158,1.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,25,25,150,0.54,0.19,1.32,[24]
159,1.0,0.86,0.0,0.0,0.0,0.07,0.0,0.07,0.0,25,380,550,0.57,0.2,1.82,[25]
160,1.0,0.86,0.0,0.0,0.0,0.07,0.0,0.07,0.0,35,380,550,0.7,0.3,1.83,[25]
161,1.0,0.86,0.0,0.0,0.0,0.07,0.0,0.07,0.0,45,380,550,1.0,0.4,1.82,[25]
162,1.0,0.86,0.0,0.0,0.0,0.07,0.0,0.07,0.0,55,380,550,1.04,0.53,1.8,[25]
